테이블명	테이블 한글명	컬럼명	컬럼 한글명	NULL 여부	데이터타입	길이	KEY	참조	제약조건	설명
production_plans	생산계획	is_current	현재 운영 여부	N	BOOLEAN					현재 운영 생산계획 여부. true이면 현재 운영 대상, false이면 파일 전체 교체 등으로 운영 해제된 이력성 계획
plan_file_apply_histories	생산계획 파일 반영 이력	apply_history_id	파일 반영 이력 고유 ID	N	BIGINT		PK			생산계획 파일 반영 이력 고유 ID
		mode	파일 반영 방식	N	VARCHAR	30				허용값: INITIAL_REGISTER, FULL_REPLACE. 생산계획 파일 반영 방식
		applied	파일 반영 여부	N	BOOLEAN					파일 검증 후 DB 반영 성공 여부
		rollback_snapshot_id	롤백 기준 스냅샷 ID	Y	VARCHAR	36				FULL_REPLACE 성공 시 생성되는 롤백 기준점 ID. INITIAL_REGISTER 또는 미반영 시 NULL
		total_rows	전체 행 수	N	INTEGER					업로드 파일에서 검증한 전체 데이터 행 수
		valid_rows	정상 행 수	N	INTEGER					검증을 통과한 정상 행 수
		error_rows	오류 행 수	N	INTEGER					검증 오류가 발생한 행 수
		excluded_rows	반영 제외 행 수	N	INTEGER					검증 또는 정책에 의해 반영 대상에서 제외된 행 수
		applied_rows	DB 반영 행 수	N	INTEGER					DB에 신규 생산계획으로 반영된 행 수
		backed_up_rows	백업 행 수	N	INTEGER					FULL_REPLACE 시 이력으로 백업한 기존 운영 생산계획 행 수
		message	반영 결과 메시지	N	VARCHAR	255				파일 반영 처리 결과 메시지
		created_at	생성일시	N	TIMESTAMPTZ					파일 반영 이력 생성일시
		updated_at	수정일시	N	TIMESTAMPTZ					파일 반영 이력 수정일시
production_plan_histories	생산계획 이력	plan_history_id	생산계획 이력 고유 ID	N	BIGINT		PK			생산계획 이력 고유 ID
		apply_history_id	파일 반영 이력 ID	N	BIGINT			plan_file_apply_histories.apply_history_id		해당 생산계획 이력을 생성한 파일 반영 이력 ID
		rollback_snapshot_id	롤백 기준 스냅샷 ID	N	VARCHAR	36				FULL_REPLACE 직전 운영 생산계획 묶음을 식별하는 롤백 기준점 ID
		source_plan_id	원본 생산계획 ID	N	BIGINT			production_plans.plan_id		이력으로 백업된 원본 생산계획 ID
		order_id	주문 ID	N	BIGINT			customer_orders.order_id		원본 생산계획의 주문 ID
		product_id	제품 ID	N	BIGINT			products.product_id		원본 생산계획의 제품 ID
		line_id	생산 라인 ID	N	BIGINT			production_lines.line_id		원본 생산계획의 배정 라인 ID
		operator_id	담당자 ID	Y	BIGINT			users.id		원본 생산계획의 담당 작업자 ID
		planned_start_at	계획 시작일시	N	TIMESTAMPTZ					원본 생산계획의 계획 시작일시
		planned_end_at	계획 종료일시	N	TIMESTAMPTZ					원본 생산계획의 계획 종료일시
		estimated_duration_hr	예상 소요시간	N	NUMERIC	10,2				원본 생산계획의 예상 소요시간
		planned_quantity	계획 수량	N	INTEGER					원본 생산계획의 계획 생산 수량
		plan_sequence	생산 순서	N	INTEGER					원본 생산계획의 라인 내 생산 순서
		plan_status	계획 상태	N	VARCHAR	30				허용값: SCHEDULED, IN_PROGRESS, COMPLETED, DELAYED, CANCELLED. 원본 생산계획 상태
		source_is_current	원본 현재 운영 여부	N	BOOLEAN					백업 시점 원본 생산계획의 현재 운영 여부
		source_created_at	원본 생성일시	N	TIMESTAMPTZ					원본 생산계획의 생성일시
		source_updated_at	원본 수정일시	N	TIMESTAMPTZ					원본 생산계획의 수정일시
		created_at	이력 생성일시	N	TIMESTAMPTZ					생산계획 이력 생성일시
		updated_at	이력 수정일시	N	TIMESTAMPTZ					생산계획 이력 수정일시
